question_id,persona_uuid,persona_summary,home_region,visit_context,persona_lens,question_text,target_mart,target_columns,answerable,unanswerable_reason
QA011,75477106765248dcb43d243db801ff7e,경기 부천 23세 — 노포 미식 탐방·연인 골목 데이트,경기-부천시 소사구,연인과 서울 골목·공연 데이트,travel,요즘 예매 순위 확 뜨는 공연 뭐예요? 데이트로 갈 만한 거.,gold_culture_boxoffice_daily,"momentum_status,rank_no,performance_name,genre",true,
QA012,75477106765248dcb43d243db801ff7e,경기 부천 23세 — 노포 미식 탐방·연인 골목 데이트,경기-부천시 소사구,연인과 서울 골목·공연 데이트,culinary,공연장 근처 노포 중식당 어디가 맛있어요?,,,false,음식점 데이터 없음 — commerce 소관. 로드맵: dine_around(티어링 #8)
QA013,905b306a7a26426eb265d0e2c72d1a36,경기 광주 81세 건물 청소원 — 친목 모임 단체 나들이,경기-광주시,친목회원들과 서울 풍경 나들이,travel,우리 모임 사진 찍기 좋은 야외 축제가 이번 달 어디서 하오?,gold_culture_event_schedule,"category,gu,event_start_date,title",true,
QA014,905b306a7a26426eb265d0e2c72d1a36,경기 광주 81세 건물 청소원 — 친목 모임 단체 나들이,경기-광주시,친목회원들과 서울 풍경 나들이,family,혼자 사는 노인네가 가까운 데서 즐길 무료 프로그램 예약할 수 있는 거 있소?,gold_culture_reservation_daily,"gu,open_services,availability_rate",true,
QA015,24074b2fcf604daeab72d55f98eb7f2f,대전 서구 36세 경리 사무원 — 부모님 모시고 식도락,대전-서구,부모님 모시고 서울 나들이,family,부모님 모시고 갈 국악이나 전통 공연 지금 인기 있는 거 있어요?,gold_culture_boxoffice_daily,"genre,rank_no,performance_name,venue_name",true,
QA016,24074b2fcf604daeab72d55f98eb7f2f,대전 서구 36세 경리 사무원 — 부모님 모시고 식도락,대전-서구,부모님 모시고 서울 나들이,culinary,공연 끝나고 부모님이랑 갈 한정식집 추천해줘요.,,,false,음식점 데이터 없음 — commerce 소관. 로드맵: commerce gold Iceberg 게시
QA017,ac2ae82b10c64fceb45d64f37b647fb2,대전 유성 24세 — 부모님과 노포 식도락 여행,대전-유성구,부모님과 서울 맛집·문화 코스,travel,지금 서울에서 오래 상연되고 있는 스테디셀러 공연이 뭐예요?,gold_culture_booking_curve,"performance_name,days_on_chart,first_seen_date,last_rank",true,
QA018,ac2ae82b10c64fceb45d64f37b647fb2,대전 유성 24세 — 부모님과 노포 식도락 여행,대전-유성구,부모님과 서울 맛집·문화 코스,arts,요즘 볼만한 영화 뭐가 1등이에요?,gold_culture_movie_boxoffice_daily,"boxoffice_date,nation_top_movie,seoul_top_movie",true,
QA019,2f55444e445941c588570111597f919c,부산 수영구 62세 — 온천 휴양·아내 산책·손주 사랑,부산-수영구,아내와 서울 사는 손주 보러 상경,family,손주들 데리고 갈 야구 경기가 이번 주 잠실에 있나?,gold_culture_sports_schedule,"game_date,game_time,stadium,home_team,away_team",true,
QA020,2f55444e445941c588570111597f919c,부산 수영구 62세 — 온천 휴양·아내 산책·손주 사랑,부산-수영구,아내와 서울 사는 손주 보러 상경,travel,잠실 쪽은 무슨 요일 저녁이 제일 붐비나? 피해서 가게.,gold_culture_event_crowd,"gu_code,day_of_week,hour_of_day,typical_congest",true,
QA021,eef731e7c82f4108bbc0813abaa1fe21,성남 분당 54세 미디어 콘텐츠 창작자 — 무계획 숲길·전시,경기-성남시 분당구,혼자 서울 전시·산책 취재,arts,전시 많이 하는 동네가 어디예요? 요즘 기준으로.,gold_culture_activity_by_dong,"admin_dong,exhibitions_count,event_date",true,
QA022,eef731e7c82f4108bbc0813abaa1fe21,성남 분당 54세 미디어 콘텐츠 창작자 — 무계획 숲길·전시,경기-성남시 분당구,혼자 서울 전시·산책 취재,travel,전시 보고 걷기 좋은 조용한 골목길 코스 추천해줘요.,,,false,보행·코스 데이터 미수집 — 신규 로드맵 후보(도보 코스/가로 데이터)
QA023,6216120dfa1e4c9ba2abb0e8ade86591,강원 동해 28세 — 혼자 미식 여행,강원-동해시,혼자 서울 시장·공연 여행,travel,"혼자 가도 좋은 공연, 순위 올라가는 거랑 새로 들어온 거 알려줘요.",gold_culture_boxoffice_daily,"momentum_status,is_new_entry,performance_name,rank_no",true,
QA024,6216120dfa1e4c9ba2abb0e8ade86591,강원 동해 28세 — 혼자 미식 여행,강원-동해시,혼자 서울 시장·공연 여행,culinary,서울 시장에서 닭강정 같은 유명한 먹거리 어디가 줄 서요?,,,false,상권 데이터 없음 + 실시간 대기줄은 수집 범위 밖 — commerce 소관
QA025,e7c14e14aee6406a8b4cd5495c5e9fa4,서울 중랑구 24세 배관공 — 연인과 즉흥 여행,서울-중랑구,연인과 즉흥 서울 데이트,travel,오늘 당장 중랑구나 근처에서 하는 행사 뭐 있어요?,gold_culture_event_schedule,"gu,event_start_date,event_end_date,title,category",true,
QA026,e7c14e14aee6406a8b4cd5495c5e9fa4,서울 중랑구 24세 배관공 — 연인과 즉흥 여행,서울-중랑구,연인과 즉흥 서울 데이트,travel,지금 이 시간에 홍대 쪽 사람 많아요?,,,false,실시간 조회 미제공 — event_crowd는 평시 베이스라인(요일×시간)만. lastmile_bike 폐기와 같은 faithfulness 원칙
QA027,212688dbfb4a4de5b99d9a52d8c9da6a,대전 서구 37세 — 가족 자연 여행·주말 미식,대전-서구,서울 부모님 댁 방문 겸 나들이,family,부모님이랑 갈 만한 공연장 중에 큰 데가 어디예요? 어떤 공연 위주로 하는지도요.,gold_culture_venue_profile,"facility_name,seat_scale,top_genre,perf_count,gu",true,
QA028,212688dbfb4a4de5b99d9a52d8c9da6a,대전 서구 37세 — 가족 자연 여행·주말 미식,대전-서구,서울 부모님 댁 방문 겸 나들이,travel,주말에 행사 겹치는 날은 피하고 싶은데 어느 날이 제일 몰려요?,gold_culture_calendar_density,"event_date,total_events,concentration,busiest_type",true,
QA029,faf3ffd2453c4969a8f48afcbe497347,대구 동구 42세 영업원 — 어머니 모시는 가장·휴양형,대구-동구,어머니 모시고 서울 상경,family,어머니 모시고 짧게 볼 무료 전시나 행사가 종로 근처에 있나요?,gold_culture_event_schedule,"gu,is_free,category,title",true,
QA030,faf3ffd2453c4969a8f48afcbe497347,대구 동구 42세 영업원 — 어머니 모시는 가장·휴양형,대구-동구,어머니 모시고 서울 상경,travel,행사장까지 지하철로 가면 얼마나 걸려요?,,,false,transit 조인 계약 미구축 — 로드맵: event_transit_load(티어링 #11)
